question,answer
Devo effettuare il check-in e il check-out in ciascun aeroporto di partenza?,"Sì, segui le normali procedure di check-in e check-out per ciascuno dei due voli e prenotazioni. Inn altre parole, dovrai fare il check-in, consegnare il bagaglio, superare i controlli di sicurezza e dei documenti presso l'aeroporto di partenza, quindi effettuare il check-out e ritirare il bagaglio da stiva presso l'aeroporto intermedio. Successivamente, devi ripetere la stessa procedura presso l'aeroporto intermedio e quello di arrivo."
Come imbarcare il bagaglio se viaggio con Voli MIX & MATCH?,"Se viaggi con bagaglio da stiva, devi consegnare il bagaglio presso ciascun aeroporto (di partenza e intermedio). All'arrivo presso l'aeroporto intermedio, procedi all'area di ritiro bagagli, prendi il tuo bagaglio e lascia l'area di transito. Consegna il bagaglio al banco del check-in di Wizz Air per il volo successivo e procedi ai controlli di sicurezza e dei documenti per imbarcarti sul secondo volo."
Devo superare i controlli di sicurezza anche presso l'aeroporto intermedio?,"Sì. Presso l'aeroporto intermedio devi uscire dalla zona di transito completamente e superare i controlli di sicurezza e dei documenti nuovamente per imbarcarti sul volo successivo. Nota: se a causa dei controlli di sicurezza e dei documenti e di eventuali ritardi non riesci a imbarcarti su uno o tutti i voli, Wizz Air non rimborsa, risarcisce né offre una nuova prenotazione per i voli persi, inclusi quelli successivi."
Serve un visto/certificato vaccinale/tampone/modulo di localizzazione del passeggero per il paese dell'aeroporto intermedio?,"Presso l'aeroporto intermedio, devi effettuare le normali procedure di check-out e check-in, inclusi i controlli di sicurezza e dei documenti. È responsabilità del passeggero disporre di tutti i documenti necessari, inclusi quelli relativi al COVID-19, richiesti dalle autorità nazionali sia del paese intermedio sia di quello di destinazione . Potrebbero essere necessari alcuni visti o documenti speciali per l'ingresso nel paese intermedio (che potrebbero differire dai documenti di transito). Consulta le autorità locali o le fonti ufficiali prima di metterti in viaggio. Prepara i documenti prima dell'imbarco, perché potrebbero essere controllati in aeroporto. Wizz Air non organizza procedure speciali per i passeggeri con biglietti per Voli MIX & MATCH e richiede un documento di viaggio valido e la carta di imbarco a tutti i passeggeri, inclusi bambini e neonati, sia per il paese intermedio sia per quello di destinazione ."
Posso acquistare biglietti flessibili?,"No, Wizz Air non offre biglietti flessibili. I Voli MIX & MATCH vengono suggeriti considerando i tempi ottimali per completare tutte le procedure di check-in e sicurezza presso gli aeroporti (almeno 3 ore). Nota: se a causa dei controlli di sicurezza e dei documenti e di eventuali ritardi non riesci a imbarcarti su uno dei voli, Wizz Air non rimborsa, risarcisce né offre una nuova prenotazione per i voli persi, inclusi quelli successivi."
È disponibile il Wizz Discount Club per i Voli MIX & MATCH?,Sì. È possibile usufruire dei vantaggi del Wizz Discount Club per i Voli MIX & MATCH.
Le persone con disabilità possono ricevere assistenza presso l'aeroporto intermedio?,Sì. Puoi richiedere l'assistenza speciale per entrambi i voli quando crei la prenotazione o successivamente tramite il tuo account WIZZ almeno 48 ore prima della partenza del volo. Dovrai richiedere l'assistenza speciale per ciascun volo separatamente. Contatta il call center per l'assistenza speciale locale per confermare la richiesta di assistenza. Per maggiori informazioni: Assistenza speciale per voli interrotti e passeggeri con disabilità .
"Se perdo i primo volo, posso comunque imbarcarmi sul secondo?","Sì. Le due prenotazioni sono indipendenti. Se non riesci a imbarcarti sul volo dall'aeroporto di partenza a quello intermedio, puoi comunque imbarcarti sul volo dall'aeroporto intermedio a quello di destinazione."
Cos'è un servizio aggiuntivo?,"I SERVIZI AGGIUNTIVI sono tutti i prodotti e servizi acquistati in connessione al trasporto aereo e forniti da terze parti, ad esempio noleggio auto, sistemazione in hotel, trasferimento in aeroporto, parcheggio in aeroporto, Fast Track , lounge, ecc."
"Ho cambiato il mio volo di recente, i servizi aggiuntivi sono stati modificati automaticamente?","Per cambiare la data/ora dei servizi aggiuntivi prenotati in funzione dei voli, contatta direttamente i relativi fornitori per ricevere assistenza."
Ho acquistato l'assicurazione di viaggio e desidero cancellare la prenotazione. Come fare?,"Puoi cancellare la tua prenotazione tramite il call center oppure inviando semplicemente una richiesta sul nostro sito. Tieni presente che verranno applicati i termini e condizioni standard. Per informazioni relative alla copertura della tua assicurazione di viaggio, contatta direttamente la compagnia assicuratrice."
"Ho prenotato un servizio aggiuntivo, posso ricevere la relativa fattura?",Purtroppo non emettiamo fatture per i servizi aggiuntivi. Rivolgiti al fornitore del servizio per maggiori informazioni relative alle fatture.
"Desidero cancellare la prenotazione, posso ottenere un rimborso per i servizi aggiuntivi prenotati?","Se intendi cancellare la prenotazione, verranno applicati i termini e le condizioni. Consulta in merito le Condizioni generali di trasporto. Per verificare se ti spetta un rimborso per i servizi aggiuntivi che avevi acquistato, contatta i rispettivi fornitori."
"Ho prenotato un servizio aggiuntivo, ma non mi è stato fornito. Posso chiedere un rimborso?","Purtroppo, non emettiamo rimborsi per i servizi aggiuntivi perché questi non sono forniti direttamente da Wizz Air. Per verificare se ti spetta un rimborso, contatta il fornitore del servizio."
Come posso ricevere i crediti sul mio conto WIZZ dopo una prenotazione effettuata su Booking.com?,"Il credito sarà visibile sul tuo conto WIZZ automaticamente. Se non hai ricevuto il credito sul tuo conto WIZZ, invia un reclamo tramite il nostro sito qui e ti assisteremo al riguardo."
I punti accumulati con la mia carta di credito in co-branding non risultano sul mio conto WIZZ. Cosa fare?,Contatta l'emittente della carta in co-branding per ricevere ulteriori informazioni sull'assegnazione dei punti sul conto WIZZ.
Ho un reclamo relativo ai servizi aggiuntivi. Cosa fare?,Contatta i relativi fornitori direttamente per inviare il tuo reclamo.
